2019冠狀病毒病 2019冠状病毒病
吊窗 吊窗
吊籃 吊篮
吊索 吊索
吊線 吊线
吊繩 吊绳
吊胃口 吊胃口
吊膀子 吊膀子
吊蘭 吊兰
吊裝 吊装
吊襠褲 吊裆裤
吊襪帶 吊袜带
吊起 吊起
吊車 吊车
吊車尾 吊车尾
吊運 吊运
吊鉤 吊钩
吊銷 吊销
吊鋪 吊铺
吊鐘花 吊钟花
吊門 吊门
吊頸 吊颈
吊鹽水 吊盐水
吊點滴 吊点滴
吋 吋
同 同
同一 同一
同一個世界，同一個夢想 同一个世界，同一个梦想
同一掛 同一挂
同上 同上
同事 同事
同人 同人
同仁 同仁
同仁 同仁
同仁堂 同仁堂
同仁縣 同仁县
同仇敵愾 同仇敌忾
同伙 同伙
同伴 同伴
同位 同位
同位素 同位素
同位素分離 同位素分离
同傳 同传
同傳耳麥 同传耳麦
同僚 同僚
同儕 同侪
同儕團體 同侪团体
同儕壓力 同侪压力
同儕審查 同侪审查
同儕扶持 同侪扶持
同儕檢視 同侪检视
同儕諮商 同侪谘商
同分異構 同分异构
同分異構體 同分异构体
同功 同功
同化 同化
同化作用 同化作用
同卵 同卵
同卵雙胞胎 同卵双胞胎
同名 同名
同名同姓 同名同姓
同喜 同喜
同在 同在
同型性 同型性
同型配子 同型配子
同堂 同堂
同好 同好
同妻 同妻
同婚 同婚
同字框 同字框
同學 同学
同安 同安
同安區 同安区
同安縣 同安县
同宗同源 同宗同源
同室操戈 同室操戈
同居 同居
同屋 同屋
同工 同工
同工同酬 同工同酬
同年 同年
同床共枕 同床共枕
同床異夢 同床异梦
同德 同德
同德縣 同德县
同心 同心
同心 同心
同心協力 同心协力
同心同德 同心同德
同心縣 同心县
同志 同志
同性 同性
同性愛 同性爱
同性戀 同性恋
同性戀恐懼症 同性恋恐惧症
同性戀者 同性恋者
同性相斥 同性相斥
同情 同情
同情者 同情者
同意 同意
同感 同感
同態 同态
同房 同房
同文館 同文馆
同日 同日
同日而語 同日而语
同時 同时
同時代 同时代
同時期 同时期
同期 同期
同案犯 同案犯
同桌 同桌
同業 同业
同業公會 同业公会
同業拆借 同业拆借
同構 同构
同樂 同乐
同樂會 同乐会
同樣 同样
同款 同款
同步 同步
同步加速器 同步加速器
同步口譯 同步口译
同步數位階層 同步数位阶层
同歸於盡 同归于尽
同母異父 同母异父
同比 同比
同江 同江
同江市 同江市
同治 同治
同流合污 同流合污
同源 同源
同源詞 同源词
同溫層 同温层
同濟 同济
同濟大學 同济大学
同濟醫科大學 同济医科大学
同父異母 同父异母
同犯 同犯
同班 同班
同班同學 同班同学
同理 同理
同理 同理
同理心 同理心
同甘共苦 同甘共苦
同甘苦 同甘苦
同病相憐 同病相怜
同盟 同盟
同盟國 同盟国
同盟會 同盟会
同盟軍 同盟军
同知 同知
同硯 同砚
同窗 同窗
同符合契 同符合契
同等 同等
同級 同级
同級評審 同级评审
同素異形體 同素异形体
同義 同义
同義反復 同义反复
同義字 同义字
同義詞 同义词
同義語 同义语
同翅目 同翅目
同聲一哭 同声一哭
同聲傳譯 同声传译
同聲翻譯 同声翻译
同胞 同胞
同胞兄妹 同胞兄妹
同臺 同台
同舟共濟 同舟共济
同花 同花
同花大順 同花大顺
同花順 同花顺
同蒙其利 同蒙其利
同行 同行
同行 同行
同袍 同袍
同調 同调
同謀 同谋
同質 同质
同路 同路
同路人 同路人
同軸 同轴
同軸電纜 同轴电缆
同輩 同辈
同途殊歸 同途殊归
同道 同道
同道中人 同道中人
同道者 同道者
同鄉 同乡
同鄉親故 同乡亲故
同配生殖 同配生殖
同量 同量
同量異位素 同量异位素
同音 同音
同音字 同音字
同音詞 同音词
同韻詞 同韵词
同類 同类
同類相吸 同类相吸
同類相食 同类相食
同餘 同余
同餘式 同余式
同餘類 同余类
同黨 同党
同齡 同龄
同齡人 同龄人
名 名
名下 名下
名不副實 名不副实
名不正言不順 名不正言不顺
名不符實 名不符实
名不虛傳 名不虚传
名不見經傳 名不见经传
名人 名人
名人錄 名人录
名伶 名伶
名位 名位
名作 名作
名優 名优
名兒 名儿
名冊 名册
名分 名分
名列 名列
名列前茅 名列前茅
名利 名利
名利場 名利场
名利雙收 名利双收
名刺 名刺
名副其實 名副其实
名勝 名胜
名勝古跡 名胜古迹
名古屋 名古屋
名句 名句
名叫 名叫
名單 名单
名嘴 名嘴
名噪一時 名噪一时
名垂青史 名垂青史
名城 名城
名堂 名堂
名士 名士
名妓 名妓
名媛 名媛
名字 名字
名存實亡 名存实亡
名學 名学
名家 名家
名家 名家
名宿 名宿
名實 名实
名將 名将
名山 名山
名山大川 名山大川
名山縣 名山县
名帖 名帖
名師 名师
名師出高徒 名师出高徒
名從主人 名从主人
名手 名手
名揚四海 名扬四海
名數 名数
名曲 名曲
名望 名望
名校 名校
名模 名模
名次 名次
名正言順 名正言顺
名氣 名气
名流 名流
名源 名源
名源動詞 名源动词
名滿天下 名满天下
名為 名为
名爵 名爵
名片 名片
名牌 名牌
名狀 名状
名產 名产
名畫 名画
名畫家 名画家
名目 名目
名目繁多 名目繁多
名相 名相
名稱 名称
名稱標籤 名称标签
名稱權 名称权
名節 名节
名篇 名篇
名籍 名籍
名籤 名签
名素 名素
名義 名义
名義上 名义上
名義價值 名义价值
名義賬戶 名义账户
名聞 名闻
名聲 名声
名臣 名臣
名花有主 名花有主
名菜 名菜
名落孫山 名落孙山
名著 名著
名號 名号
名角 名角
名角兒 名角儿
名言 名言
名詞 名词
名諱 名讳
名譽 名誉
名譽博士 名誉博士
名譽博士學位 名誉博士学位
名譽學位 名誉学位
名譽掃地 名誉扫地
名貴 名贵
名酒 名酒
名醫 名医
名重識暗 名重识暗
名量詞 名量词
名銜 名衔
名錄 名录
名錄服務 名录服务
名錶 名表
名門 名门
名門望族 名门望族
名間 名间
名間鄉 名间乡
名韁利鎖 名缰利锁
名頭 名头
名額 名额
名馳遐邇 名驰遐迩
后 后
后 后
后妃 后妃
后座 后座
后羿 后羿
后里 后里
后里鄉 后里乡
后髮座 后发座
吏 吏
吏治 吏治
吏胥 吏胥
吏部 吏部
吐 吐
吐 吐
吐便當 吐便当
吐口 吐口
吐司 吐司
吐嘈 吐嘈
吐字 吐字
吐實 吐实
吐故納新 吐故纳新
吐根 吐根
吐棄 吐弃
吐槽 吐槽
吐槽大會 吐槽大会
吐氣 吐气
吐沫 吐沫
吐火羅人 吐火罗人
吐瓦魯 吐瓦鲁
吐痰 吐痰
吐穗 吐穗
吐絮 吐絮
吐絲 吐丝
吐絲自縛 吐丝自缚
吐綬雞 吐绶鸡
吐舌頭 吐舌头
吐艷 吐艳
吐苦水 吐苦水
吐蕃 吐蕃
吐蕃王朝 吐蕃王朝
吐訴 吐诉
吐谷渾 吐谷浑
吐露 吐露
吐魯番 吐鲁番
吐魯番地區 吐鲁番地区
吐魯番市 吐鲁番市
吐魯番盆地 吐鲁番盆地
向 向
向 向
向上 向上
向下 向下
向何處 向何处
向來 向来
向例 向例
向前 向前
向前翻騰 向前翻腾
向北 向北
向南 向南
向右拐 向右拐
向壁虛構 向壁虚构
向壁虛造 向壁虚造
向外 向外
向家壩 向家坝
向左拐 向左拐
向巴平措 向巴平措
向後 向后
向後翻騰 向后翻腾
向心力 向心力
向性 向性
向慕 向慕
向斜 向斜
向日葵 向日葵
向暮 向暮
向東 向东
向火 向火
向盤 向盘
向背 向背
向著 向着
向西 向西
向西南 向西南
向量 向量
向量代數 向量代数
向量圖形 向量图形
向量積 向量积
向量空間 向量空间
向陽 向阳
向陽 向阳
向陽區 向阳区
向陽花 向阳花
向隅 向隅
吒 吒
吒 吒
吔 吔
吖 吖
吖丁啶 吖丁啶
吖啶 吖啶
吖嗪 吖嗪
吚 咿
君 君
君主 君主
君主制 君主制
君主國 君主国
君主政治 君主政治
君主政體 君主政体
君主立憲制 君主立宪制
君位 君位
君士坦丁堡 君士坦丁堡
君子 君子
君子一言，駟馬難追 君子一言，驷马难追
君子不計小人過 君子不计小人过
君子之交 君子之交
君子之交淡如水 君子之交淡如水
君子動口不動手 君子动口不动手
君子坦蕩蕩，小人長戚戚 君子坦荡荡，小人长戚戚
君子報仇，十年不晚 君子报仇，十年不晚
君子蘭 君子兰
君子遠庖廚 君子远庖厨
君山 君山
君山區 君山区
君悅 君悦
君權 君权
君王 君王
君臣 君臣
君長 君长
吜 吜
吝 吝
吝嗇 吝啬
吝嗇鬼 吝啬鬼
吝惜 吝惜
吞 吞
吞併 吞并
吞吃 吞吃
吞吐 吞吐
吞吞吐吐 吞吞吐吐
吞噬 吞噬
吞噬作用 吞噬作用
吞噬細胞 吞噬细胞
吞嚥 吞咽
吞嚥困難 吞咽困难
吞拿 吞拿
吞拿魚 吞拿鱼
吞服 吞服
吞沒 吞没
吞滅 吞灭
吞米桑布札 吞米桑布札
吞精 吞精
吞聲 吞声
吞聲忍氣 吞声忍气
吞金 吞金
吞雲吐霧 吞云吐雾
吞音 吞音
吞食 吞食
吟 吟
吟哦 吟哦
吟唱 吟唱
吟詠 吟咏
吟詩 吟诗
吟誦 吟诵
吟遊 吟游
吟風弄月 吟风弄月
吠 吠
吠叫 吠叫
吠陀 吠陀
吡 吡
吡叻 吡叻
吡咯 吡咯
吡唑 吡唑
吡啶 吡啶
吡喃 吡喃
吡嗪 吡嗪
吡拉西坦 吡拉西坦
吥 吥
否 否
否 否
否則 否则
否定 否定
否定句 否定句
否有效 否有效
否極泰來 否极泰来
否決 否决
否決權 否决权
否決票 否决票
否認 否认
吧 吧
吧 吧
吧 吧
吧主 吧主
吧務 吧务
吧台 吧台
吧唧 吧唧
吧唧 吧唧
吧唧吧唧 吧唧吧唧
吧啦吧啦 吧啦吧啦
吧嗒 吧嗒
吧女 吧女
吧托 吧托
吧托女 吧托女
吩 吩
吩咐 吩咐
吩嗪 吩嗪
吩坦尼 吩坦尼
吪 吪
含 含
含冤 含冤
含含糊糊 含含糊糊
含味雋永 含味隽永
含商咀徵 含商咀徵
含垢忍辱 含垢忍辱
含宮咀徵 含宫咀徵
含山 含山
含山縣 含山县
含忍恥辱 含忍耻辱
含情脈脈 含情脉脉
含意 含意
含括 含括
含有 含有
含氣 含气
含水 含水
含水層 含水层
含沙射影 含沙射影
含沙量 含沙量
含油 含油
含油岩 含油岩
含淚 含泪
含混 含混
含片 含片
含碳 含碳
含磷 含磷
含稅 含税
含笑 含笑
含糊 含糊
含糊不清 含糊不清
含糊其詞 含糊其词
含羞草 含羞草
含義 含义
含胡 含胡
含苞 含苞
含苞待放 含苞待放
含英咀華 含英咀华
含蓄 含蓄
含蘊 含蕴
含血噴人 含血喷人
含辛茹苦 含辛茹苦
含量 含量
含金 含金
含鈣 含钙
含飴弄孫 含饴弄孙
听 听
吭 吭
吭 吭
吭吭 吭吭
吭哧 吭哧
吭氣 吭气
吭聲 吭声
吮 吮
吮吸 吮吸
吰 吰
吱 吱
吱 吱
吱吱嘎嘎 吱吱嘎嘎
吱吱聲 吱吱声
吱嘎 吱嘎
吱嘎聲 吱嘎声
吱聲 吱声
吲 吲
吲哚 吲哚
吲唑 吲唑
吳 吴
吳三桂 吴三桂
吳下阿蒙 吴下阿蒙
吳中 吴中
吳中區 吴中区
吳仁寶 吴仁宝
吳任臣 吴任臣
吳作棟 吴作栋
吳儀 吴仪
吳儂嬌語 吴侬娇语
吳儂軟語 吴侬软语
吳哥城 吴哥城
吳哥窟 吴哥窟
吳嘉經 吴嘉经
吳國 吴国
吳堡 吴堡
吳堡縣 吴堡县
吳天明 吴天明
吳子 吴子
吳孟超 吴孟超
吳官正 吴官正
吳尊 吴尊
吳川 吴川
吳川市 吴川市
吳市吹簫 吴市吹箫
吳廣 吴广
吳建豪 吴建豪
吳忠 吴忠
吳忠市 吴忠市
吳承恩 吴承恩
吳敬梓 吴敬梓
吳旗 吴旗
吳旗縣 吴旗县
吳晗 吴晗
吳楚 吴楚
吳橋 吴桥
吳橋縣 吴桥县
吳永剛 吴永刚
吳江 吴江
吳江市 吴江市
吳淞 吴淞
吳清源 吴清源
吳牛見月 吴牛见月
吳玉章 吴玉章
吳王闔廬 吴王阖庐
吳王闔閭 吴王阖闾
吳用 吴用
吳縣 吴县
吳自牧 吴自牧
吳興 吴兴
吳興區 吴兴区
吳語 吴语
吳起 吴起
吳起 吴起
吳起縣 吴起县
吳越 吴越
吳越同舟 吴越同舟
吳越春秋 吴越春秋
吳趼人 吴趼人
吳邦國 吴邦国
吳鎮宇 吴镇宇
吳頭楚尾 吴头楚尾
吵 吵
吵吵 吵吵
吵吵嚷嚷 吵吵嚷嚷
吵嘴 吵嘴
吵嚷 吵嚷
吵架 吵架
吵醒 吵醒
吵雜 吵杂
吵鬧 吵闹
吵鬧聲 吵闹声
吶 呐
吶 呐
吶喊 呐喊
吸 吸
吸住 吸住
吸入 吸入
吸入劑 吸入剂
吸入器 吸入器
吸入閥 吸入阀
吸力 吸力
吸取 吸取
吸取教訓 吸取教训
吸口 吸口
吸吮 吸吮
吸地 吸地
吸塵器 吸尘器
吸塵機 吸尘机
吸奶 吸奶
吸奶器 吸奶器
吸引 吸引
吸引力 吸引力
吸引子 吸引子
吸引子網絡 吸引子网络
吸把 吸把
吸收 吸收
吸收劑量 吸收剂量
吸毒 吸毒
吸毒成癮 吸毒成瘾
吸氣 吸气
吸氣器 吸气器
吸氧 吸氧
吸水 吸水
吸濕 吸湿
吸濕性 吸湿性
吸煙 吸烟
吸煙區 吸烟区
吸煙室 吸烟室
吸熱 吸热
吸留 吸留
吸盡 吸尽
吸盤 吸盘
吸盤魚 吸盘鱼
吸睛 吸睛
吸碳 吸碳
吸碳存 吸碳存
吸積 吸积
吸管 吸管
吸粉 吸粉
吸納 吸纳
吸聲 吸声
吸著 吸着
吸蜜鳥 吸蜜鸟
吸蟲 吸虫
吸蟲綱 吸虫纲
吸血 吸血
吸血烏賊 吸血乌贼
吸血者 吸血者
吸血鬼 吸血鬼
吸貓 吸猫
吸進 吸进
吸金 吸金
吸鐵石 吸铁石
吸門 吸门
吸附 吸附
吸附劑 吸附剂
吸附性 吸附性
吸附洗消劑 吸附洗消剂
吸音 吸音
吸頂燈 吸顶灯
吸食 吸食
吹 吹
吹乾 吹干
吹了 吹了
吹冷風 吹冷风
吹口哨 吹口哨
吹吹拍拍 吹吹拍拍
吹哨 吹哨
吹哨人 吹哨人
吹喇叭 吹喇叭
吹噓 吹嘘
吹奏 吹奏
吹孔 吹孔
吹拂 吹拂
吹拍 吹拍
吹捧 吹捧
吹擂 吹擂
吹散 吹散
吹枕邊風 吹枕边风
吹毛求疵 吹毛求疵
吹氣 吹气
吹灰 吹灰
吹灰之力 吹灰之力
吹熄 吹熄
吹燈拔蠟 吹灯拔蜡
吹牛 吹牛
吹牛拍馬 吹牛拍马
吹牛皮 吹牛皮
吹球機 吹球机
吹竽手 吹竽手
吹笛者 吹笛者
吹管 吹管
吹管樂 吹管乐
吹簫 吹箫
吹簫乞食 吹箫乞食
吹糠見米 吹糠见米
吹脹 吹胀
吹臺 吹台
吹葉機 吹叶机
吹號 吹号
吹襲 吹袭
吹風機 吹风机
吹鬍子瞪眼 吹胡子瞪眼
吹鼓手 吹鼓手
吻 吻
吻別 吻别
吻合 吻合
吻戲 吻戏
吻技 吻技
吻痕 吻痕
吻部 吻部
吼 吼
吼叫 吼叫
吼聲 吼声
吽 吽
吽 吽
吽牙 吽牙
吾 吾
吾 吾
吾人 吾人
吾爾開希 吾尔开希
吾生也有涯，而知也無涯 吾生也有涯，而知也无涯
吾等 吾等
吾輩 吾辈
呀 呀
呀諾達 呀诺达
呂 吕
呂 吕
呂不韋 吕不韦
呂嘉民 吕嘉民
呂塞爾斯海姆 吕塞尔斯海姆
呂宋島 吕宋岛
呂宋海峽 吕宋海峡
呂岩 吕岩
呂布 吕布
呂布戟 吕布戟
呂望 吕望
呂梁 吕梁
呂梁市 吕梁市
呂氏春秋 吕氏春秋
呂洞賓 吕洞宾
呂純陽 吕纯阳
呂蒙 吕蒙
呂覽 吕览
呂貝克 吕贝克
呃 呃
呃逆 呃逆
呆 呆
呆住 呆住
呆傻 呆傻
呆子 呆子
呆帳 呆帐
呆扳手 呆扳手
呆會兒 呆会儿
呆板 呆板
呆根 呆根
呆滯 呆滞
呆瓜 呆瓜
呆站 呆站
呆笨 呆笨
呆若木雞 呆若木鸡
呆萌 呆萌
呆賬 呆账
呆頭呆腦 呆头呆脑
呇 呇
呈 呈
呈交 呈交
呈報 呈报
呈文 呈文
呈獻 呈献
呈現 呈现
呈給 呈给
呈請 呈请
呈貢 呈贡
呈貢縣 呈贡县
呈送 呈送
呈遞 呈递
呈陰性 呈阴性
呈陽性 呈阳性
呉 呉
告 告
告一段落 告一段落
告之 告之
告便 告便
告兒 告儿
告別 告别
告別式 告别式
告吹 告吹
告密 告密
告密者 告密者
告急 告急
告戒 告戒
告捷 告捷
告求 告求
告狀 告状
告發 告发
告白 告白
告知 告知
告示 告示
告示牌 告示牌
告竣 告竣
告終 告终
告罄 告罄
告解 告解
告訴 告诉
告訴 告诉
告語 告语
告誡 告诫
告誦 告诵
告諭 告谕
告辭 告辞
告退 告退
告送 告送
告饒 告饶
呋 呋
呋喃 呋喃
呋喃西林 呋喃西林
呌 叫
呎 呎
呏 呏
呑 呑
呔 呔
呔 呔
呝 呝
呠 呠
呡 呡
呢 呢
呢 呢
呢呢 呢呢
呢呢癡癡 呢呢痴痴
呢喃 呢喃
呢喃細語 呢喃细语
呢子 呢子
呣 呣
呣 呣
呤 呤
呤 呤
呤呤 呤呤
呦 呦
呦呦 呦呦
呧 呧
周 周
周 周
周一嶽 周一岳
周三徑一 周三径一
周中 周中
周代 周代
周作人 周作人
周備 周备
周傳瑛 周传瑛
周全 周全
周公 周公
周到 周到
周勃 周勃
周口 周口
周口地區 周口地区
周口市 周口市
周口店 周口店
周圍 周围
周圍性眩暈 周围性眩晕
周報 周报
周宣王 周宣王
周家 周家
周密 周密
周寧 周宁
周寧縣 周宁县
周小川 周小川
周幽王 周幽王
周延 周延
周恩來 周恩来
周成王 周成王
周扒皮 周扒皮
周折 周折
周敦頤 周敦颐
周文王 周文王
周旋 周旋
周易 周易
周星馳 周星驰
周晬 周晬
周書 周书
周會 周会
周有光 周有光
周朝 周朝
周期函數 周期函数
周村 周村
周村區 周村区
周杰倫 周杰伦
周梁淑怡 周梁淑怡
周樹人 周树人
周武王 周武王
周武王姬發 周武王姬发
周永康 周永康
周波 周波
周渝民 周渝民
周潤發 周润发
周濟 周济
周濟 周济
周狗 周狗
周王朝 周王朝
周瑜 周瑜
周瑜打黃蓋 周瑜打黄盖
周璇 周璇
周瘦鵑 周瘦鹃
周知 周知
周禮 周礼
周穆王 周穆王
周立波 周立波
周章 周章
周總理 周总理
周至 周至
周至 周至
周至縣 周至县
周莊 周庄
周莊鎮 周庄镇
周華健 周华健
周處 周处
周詳 周详
周身 周身
周轉 周转
周轉不開 周转不开
周轉不靈 周转不灵
周轉金 周转金
周速 周速
周遊 周游
周遊世界 周游世界
周遊列國 周游列国
周遭 周遭
周邊 周边
周邊商品 周边商品
周長 周长
周髀算經 周髀算经
呪 咒
呫 呫
呫 呫
呫 呫
呫呫 呫呫
呫嗶 呫哔
呫噸 呫吨
呫噸酮 呫吨酮
呫嚅 呫嚅
呫囁 呫嗫
呫畢 呫毕
呬 呬
呯 呯
呰 呰
呱 呱
呱呱 呱呱
呱呱 呱呱
呱呱叫 呱呱叫
呱呱墜地 呱呱坠地
呲 呲
呲 呲
呲牙咧嘴 呲牙咧嘴
味 味
味之素 味之素
味兒 味儿
味同嚼蠟 味同嚼蜡
味噌 味噌
味噌湯 味噌汤
味精 味精
味素 味素
味美思酒 味美思酒
味蕾 味蕾
味覺 味觉
味覺遲鈍 味觉迟钝
味道 味道
呴 呴
呵 呵
呵 呵
呵叱 呵叱
呵呵 呵呵
呵喝 呵喝
呵斥 呵斥
呵欠 呵欠
呵禁 呵禁
呵譴 呵谴
呵護 呵护
呵責 呵责
呶 呶
呶 呶
呶呶 呶呶
呷 呷
呷呷 呷呷
呸 呸
呺 呺
呻 呻
呻吟 呻吟
呼 呼
呼中 呼中
呼中區 呼中区
呼之即來 呼之即来
呼之即來，揮之即去 呼之即来，挥之即去
呼之欲出 呼之欲出
呼來喝去 呼来喝去
呼倫湖 呼伦湖
呼倫貝爾 呼伦贝尔
呼倫貝爾市 呼伦贝尔市
呼倫貝爾草原 呼伦贝尔草原
呼出 呼出
呼叫 呼叫
呼叫中心 呼叫中心
呼叫器 呼叫器
呼叫聲 呼叫声
呼召 呼召
呼吸 呼吸
呼吸器 呼吸器
呼吸管 呼吸管
呼吸系統 呼吸系统
呼吸調節器 呼吸调节器
呼吸道 呼吸道
呼呼 呼呼
呼呼哱 呼呼哱
呼呼聲 呼呼声
呼和浩特 呼和浩特
呼和浩特市 呼和浩特市
呼咻 呼咻
呼哧 呼哧
呼哧呼哧 呼哧呼哧
呼啦啦 呼啦啦
呼啦圈 呼啦圈
呼喊 呼喊
呼喚 呼唤
呼喝 呼喝
呼嘯 呼啸
呼嘯而過 呼啸而过
呼嚎 呼嚎
呼嚕 呼噜
呼嚕 呼噜
呼嚕嚕 呼噜噜
呼圖壁 呼图壁
呼圖壁縣 呼图壁县
呼天搶地 呼天抢地
呼弄 呼弄
呼應 呼应
呼拉圈 呼拉圈
呼救 呼救
呼朋引伴 呼朋引伴
呼朋引類 呼朋引类
呼格 呼格
呼機 呼机
呼氣 呼气
呼牛作馬 呼牛作马
呼牛呼馬 呼牛呼马
呼瑪 呼玛
呼瑪縣 呼玛县
呼籲 呼吁
呼聲 呼声
呼蘭 呼兰
呼蘭區 呼兰区
呼號 呼号
呼風喚雨 呼风唤雨
命 命
命不久已 命不久已
命中 命中
命中率 命中率
命中註定 命中注定
命令 命令
命令列 命令列
命令句 命令句
命令行 命令行
命危 命危
命名 命名
命名日 命名日
命名法 命名法
命名系統 命名系统
命在旦夕 命在旦夕
命大 命大
命定 命定
命根 命根
命根子 命根子
命案 命案
命歸黃泉 命归黄泉
命理 命理
命理學 命理学
命盤 命盘
命相 命相
命脈 命脉
命苦 命苦
命薄 命薄
命赴黃泉 命赴黄泉
命途 命途
命途坎坷 命途坎坷
命途多舛 命途多舛
命運 命运
命題 命题
命題邏輯 命题逻辑
呿 呿
咀 咀
咀 咀
咀嚼 咀嚼
咁 咁
咂 咂
咂摸 咂摸
咄 咄
咄咄 咄咄
咄咄怪事 咄咄怪事
咄咄稱奇 咄咄称奇
咄咄逼人 咄咄逼人
咅 咅
咆 咆
咆哮 咆哮
咆哮如雷 咆哮如雷
咇 咇
咈 咈
咊 和
咋 咋
咋 咋
咋 咋
咋呼 咋呼
咋舌 咋舌
和 和
和 和
和 和
和 和
和 和
和 和
和事佬 和事佬
和合 和合
和和氣氣 和和气气
和善 和善
和好 和好
和好如初 和好如初
和尚 和尚
和尚打傘 和尚打伞
和尚打傘，無法無天 和尚打伞，无法无天
和局 和局
和布克賽爾縣 和布克赛尔县
和布克賽爾蒙古自治縣 和布克赛尔蒙古自治县
和平 和平
和平 和平
和平主義 和平主义
和平共處 和平共处
和平共處五項原則 和平共处五项原则
和平區 和平区
和平會談 和平会谈
和平條約 和平条约
和平特使 和平特使
和平統一 和平统一
和平縣 和平县
和平解決 和平解决
和平談判 和平谈判
和平鄉 和平乡
和平里 和平里
和平隊 和平队
和平鳥 和平鸟
和平鴿 和平鸽
和弦 和弦
和得來 和得来
和悅 和悦
和政 和政
和政縣 和政县
和散那 和散那
和數 和数
和暖 和暖
和會 和会
和服 和服
和林格爾 和林格尔
和林格爾縣 和林格尔县
和棋 和棋
和樂 和乐
和樂蟹 和乐蟹
和歌 和歌
和歌山 和歌山
和歌山縣 和歌山县
和氣 和气
和氣生財 和气生财
和氣致祥 和气致祥
和洽 和洽
和煦 和煦
和牌 和牌
和珅 和珅
和田 和田
和田地區 和田地区
和田市 和田市
和田河 和田河
和田玉 和田玉
和田縣 和田县
和盤托出 和盘托出
和睦 和睦
和睦相處 和睦相处
和碩 和硕
和碩縣 和硕县
和稀泥 和稀泥
和約 和约
和緩 和缓
和縣 和县
和美 和美
和美 和美
和美鎮 和美镇
和聲 和声
和胃力氣 和胃力气
和藹 和蔼
和藹可親 和蔼可亲
和衣而臥 和衣而卧
和解 和解
和解費 和解费
和記黃埔 和记黄埔
和談 和谈
和諧 和谐
和諧性 和谐性
和諧號 和谐号
和達清夫 和达清夫
和闐 和阗
和靜 和静
和靜縣 和静县
和音 和音
和順 和顺
和順 和顺
和順縣 和顺县
和顏悅色 和颜悦色
和風 和风
和食 和食
和麵 和面
和龍 和龙
和龍市 和龙市
咍 咍
咎 咎
咎有應得 咎有应得
咎由自取 咎由自取
咐 咐
咑 咑
咒 咒
咒文 咒文
咒罵 咒骂
咒詛 咒诅
咒語 咒语
咔 咔
咔唑 咔唑
咔嗒 咔嗒
咔嘰 咔叽
咔噠聲 咔哒声
咔嚓 咔嚓
咕 咕
咕咕叫 咕咕叫
咕咚 咕咚
咕咾肉 咕咾肉
咕唧 咕唧
咕噥 咕哝
咕嚕 咕噜
咕嚕肉 咕噜肉
咕攘 咕攘
咖 咖
咖哩 咖哩
咖啡 咖啡
咖啡伴侶 咖啡伴侣
咖啡因 咖啡因
咖啡壺 咖啡壶
咖啡室 咖啡室
咖啡屋 咖啡屋
咖啡店 咖啡店
咖啡廳 咖啡厅
咖啡機 咖啡机
咖啡色 咖啡色
咖啡豆 咖啡豆
咖啡館 咖啡馆
咖啡館兒 咖啡馆儿
咖喱 咖喱
咖喱粉 咖喱粉
咖逼 咖逼
咗 咗
咚 咚
咚咚 咚咚
咚咚 咚咚
咠 咠
咡 咡
咢 咢
咣 咣
咣當 咣当
咤 咤
咥 咥
咥 咥
咦 咦
咧 咧
咧 咧
咧 咧
咧咧 咧咧
咧嘴 咧嘴
咧開嘴笑 咧开嘴笑
咨 咨
咨嗟 咨嗟
咨文 咨文
咨詢 咨询
咩 咩
咪 咪
咪咪 咪咪
咪唑 咪唑
咪嘴 咪嘴
咫 咫
咫尺 咫尺
咫尺天涯 咫尺天涯
咬 咬
咬人狗兒不露齒 咬人狗儿不露齿
咬人的狗不露齒 咬人的狗不露齿
咬傷 咬伤
咬合 咬合
咬唇妝 咬唇妆
咬嚙 咬啮
咬嚼 咬嚼
咬字 咬字
咬定 咬定
咬定牙根 咬定牙根
咬定牙關 咬定牙关
咬文嚼字 咬文嚼字
咬牙 咬牙
咬牙切齒 咬牙切齿
咬甲癖 咬甲癖
咬痕 咬痕
咬緊牙根 咬紧牙根
咬緊牙關 咬紧牙关
咬耳朵 咬耳朵
咬舌自盡 咬舌自尽
咬著耳朵 咬着耳朵
咬鉤 咬钩
咬齧 咬啮
咭 咭
咭咭呱呱 咭咭呱呱
咮 咮
咯 咯
咯 咯
咯 咯
咯吱 咯吱
咯咯 咯咯
咯咯笑 咯咯笑
咯嚓 咯嚓
咱 咱
咱 咱
咱倆 咱俩
咱們 咱们
咱家 咱家
咱家 咱家
咲 笑
咳 咳
咳 咳
咳嗆 咳呛
咳嗽 咳嗽
咳痰 咳痰
咴 咴
咷 咷
咸 咸
咸 咸
咸安區 咸安区
咸寧 咸宁
咸寧地區 咸宁地区
咸寧市 咸宁市
咸與維新 咸与维新
咸興 咸兴
咸興市 咸兴市
咸豐 咸丰
咸豐縣 咸丰县
咸鏡 咸镜
咸鏡北道 咸镜北道
咸鏡南道 咸镜南道
咸鏡道 咸镜道
咸陽 咸阳
咸陽地區 咸阳地区
咸陽市 咸阳市
咸陽橋 咸阳桥
咹 咹
咺 咺
咻 咻
咼 呙
咼 呙
咽 咽
咽 咽
咽 咽
咽喉 咽喉
咽峽 咽峡
咽峽炎 咽峡炎
咽炎 咽炎
咽頭 咽头
咽鼓管 咽鼓管
